,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
957,39,84,42,66,0,57,0,54,63,12,0,63,0,81,0,78,45,0,69,42,66,63,0,63,48,0,93,12
958,42,78,33,36,0,36,0,63,36,27,0,66,0,66,0,102,45,0,72,60,60,81,0,69,60,0,78,30
959,69,54,30,39,0,39,0,63,39,15,0,78,0,93,0,81,72,0,51,63,78,96,0,24,57,0,75,24
960,36,57,66,54,0,72,0,57,27,36,0,87,0,48,0,87,42,0,45,63,48,60,0,72,60,0,99,24
961,57,27,48,36,0,60,0,72,69,9,0,84,0,78,0,87,87,0,57,63,57,78,0,27,21,0,93,30
962,45,36,54,54,0,30,0,66,54,24,0,96,0,60,0,75,60,0,36,51,54,66,0,66,51,0,102,60
963,57,12,30,66,0,54,0,69,63,21,0,63,0,69,0,75,63,0,63,66,39,93,0,72,54,0,84,27
964,33,57,33,33,0,42,0,69,33,51,0,66,0,75,0,87,45,0,45,39,78,93,0,78,69,0,102,12
965,42,63,24,36,0,42,0,54,36,36,0,63,0,87,0,69,63,0,36,72,60,75,0,75,69,0,108,30
966,54,27,54,69,0,57,0,57,60,51,0,87,0,57,0,87,51,0,42,45,69,78,0,45,57,0,78,15
967,54,33,24,36,0,51,0,45,36,57,0,60,0,84,0,72,57,0,51,87,63,84,0,75,63,0,90,18
968,39,57,39,69,0,45,0,60,12,18,0,84,0,66,0,90,84,0,54,84,51,69,0,45,66,0,90,18
969,27,21,54,42,0,42,0,57,54,48,0,81,0,72,0,87,66,0,66,57,42,96,0,51,63,0,96,18
970,63,39,33,57,0,51,0,48,81,36,0,72,0,60,0,54,84,0,81,57,48,99,0,33,39,0,63,42
971,54,45,30,60,0,42,0,84,54,51,0,60,0,78,0,72,63,0,45,57,45,90,0,36,60,0,84,30
972,57,33,24,69,0,51,0,45,54,18,0,90,0,63,0,99,81,0,54,69,63,54,0,51,48,0,90,27
973,54,48,18,72,0,42,0,57,30,27,0,99,0,60,0,87,60,0,45,78,78,93,0,45,36,0,84,27
974,39,57,42,39,0,33,0,63,45,27,0,81,0,66,0,84,66,0,66,60,81,66,0,54,39,0,96,36
975,60,63,18,48,0,57,0,75,48,33,0,63,0,51,0,78,69,0,33,63,57,63,0,69,72,0,99,21
976,42,42,27,48,0,45,0,81,57,63,0,69,0,72,0,72,45,0,45,63,69,99,0,36,66,0,87,12
977,54,51,72,21,0,45,0,57,48,33,0,75,0,60,0,93,75,0,63,66,57,81,0,48,39,0,93,9
978,72,57,27,36,0,30,0,51,39,33,0,69,0,63,0,93,63,0,30,81,63,93,0,72,60,0,93,15
979,60,48,24,45,0,81,0,78,45,48,0,75,0,90,0,54,60,0,24,36,81,75,0,66,27,0,93,30
980,48,48,45,54,0,21,0,66,57,42,0,81,0,69,0,87,54,0,51,66,45,87,0,57,33,0,84,45
981,69,36,27,33,0,36,0,66,42,48,0,63,0,96,0,99,54,0,33,75,81,96,0,42,54,0,81,9
982,15,54,15,66,0,21,0,63,75,48,0,66,0,63,0,63,87,0,33,45,69,78,0,93,51,0,102,33
983,66,60,63,57,0,15,0,69,33,18,0,66,0,78,0,66,66,0,51,78,42,72,0,63,45,0,99,33
984,51,63,57,48,0,48,0,60,36,36,0,63,0,84,0,78,45,0,60,48,66,93,0,42,27,0,111,24
985,36,42,75,39,0,54,0,66,45,36,0,75,0,60,0,96,69,0,24,81,48,57,0,75,66,0,69,27
986,66,24,54,27,0,45,0,63,54,42,0,78,0,81,0,72,51,0,60,63,69,90,0,27,66,0,93,15
987,39,54,18,54,0,42,0,69,27,39,0,84,0,99,0,54,75,0,39,36,72,78,0,63,81,0,102,15
988,87,45,33,30,0,45,0,57,36,42,0,69,0,75,0,81,69,0,51,45,63,84,0,54,45,0,105,24
989,39,45,24,66,0,33,0,75,57,39,0,54,0,66,0,96,84,0,48,33,66,72,0,54,63,0,96,30
990,57,63,45,15,0,48,0,63,51,33,0,66,0,54,0,90,42,0,48,69,90,90,0,48,45,0,90,33
991,30,39,57,21,0,57,0,81,36,36,0,75,0,84,0,75,57,0,57,60,102,57,0,54,36,0,81,45
992,18,21,18,48,0,69,0,45,66,63,0,90,0,69,0,75,90,0,27,63,63,78,0,69,36,0,99,33
993,36,60,33,60,0,51,0,63,54,18,0,75,0,75,0,90,72,0,42,36,60,51,0,69,72,0,90,33
994,36,63,30,54,0,45,0,63,39,39,0,84,0,81,0,81,72,0,54,60,48,90,0,36,54,0,105,6
